date,portfolio_value
20210916,103783.88620514354
20210916,103783.88620514354
20210917,103917.71077574049
20210917,103917.71077574049
20210922,104669.49675086013
20210922,104669.49675086013
20210923,105767.34283971284
20210923,105767.34283971284
20210924,104298.42883663492
20210924,104298.42883663492
20210927,102409.07151491311
20210927,102409.07151491311
20210928,103327.155806954
20210928,103327.155806954
20210929,101248.70536607836
20210929,101248.70536607836
20210930,101988.92304419236
20210930,101988.92304419236
20210930,100000.0000000001
20210930,100000.0000000001
20211008,101116.65862952414
20211008,101116.65862952414
20211011,101151.94257349432
20211011,101151.94257349432
20211012,99619.91167847787
20211012,99619.91167847787
20211013,99938.60468234862
20211013,99938.60468234862
20211014,99754.35369648351
20211014,99754.35369648351
20211015,99652.8573932298
20211015,99652.8573932298
20211018,99610.4347442365
20211018,99610.4347442365
20211019,100372.18440371988
20211019,100372.18440371988
20211020,99933.57867845491
20211020,99933.57867845491
20211022,99882.81511798811
20211022,99882.81511798811
20211029,98346.39254519618
20211029,98346.39254519618
20211101,98392.30605282546
20211101,98392.30605282546
20211102,97234.24924032325
20211102,97234.24924032325
20211103,97496.23374384566
20211103,97496.23374384566
20211104,98061.1577868587
20211104,98061.1577868587
20211105,97269.22128174521
20211105,97269.22128174521
20211108,97544.90362766122
20211108,97544.90362766122
20211109,97578.14339467295
20211109,97578.14339467295
20211110,97298.63472428817
20211110,97298.63472428817
20211111,98756.28707114038
20211111,98756.28707114038
20211112,98762.51073199547
20211112,98762.51073199547
20211115,98734.24310735559
20211115,98734.24310735559
20211116,98359.00648699683
20211116,98359.00648699683
20211117,98604.03168222541
20211117,98604.03168222541
20211118,97833.90987570294
20211118,97833.90987570294
20211119,99116.41593281293
20211119,99116.41593281293
20211122,99257.93992547109
20211122,99257.93992547109
20211123,99341.22415626989
20211123,99341.22415626989
20211124,99331.17956775837
20211124,99331.17956775837
20211125,98992.64947107439
20211125,98992.64947107439
20211126,98114.83242752976
20211126,98114.83242752976
20211129,97473.6507391439
20211129,97473.6507391439
20211130,97589.2678786157
20211130,97589.2678786157
20211201,98319.75233914191
20211201,98319.75233914191
20211202,98483.84964768952
20211202,98483.84964768952
20211203,99514.69505779144
20211203,99514.69505779144
20211206,99198.9811965042
20211206,99198.9811965042
20211207,99853.30019476468
20211207,99853.30019476468
20211208,100997.52415298969
20211208,100997.52415298969
20211209,102418.29266968185
20211209,102418.29266968185
20211210,101697.35036168298
20211210,101697.35036168298
20211213,102142.86556794419
20211213,102142.86556794419
20211214,101333.61695804319
20211214,101333.61695804319
20211215,100996.4635198895
20211215,100996.4635198895
20211216,101952.19467425777
20211216,101952.19467425777
20211217,101092.84361924285
20211217,101092.84361924285
20211220,99895.32492346608
20211220,99895.32492346608
20211221,101155.99470388691
20211221,101155.99470388691
20211222,101372.47266956941
20211222,101372.47266956941
20211223,101704.20078316407
20211223,101704.20078316407
20211224,101372.96246233693
20211224,101372.96246233693
20211227,101662.8391797562
20211227,101662.8391797562
20211228,101765.65335152831
20211228,101765.65335152831
20211229,101031.52313614992
20211229,101031.52313614992
20211230,101737.15224585473
20211230,101737.15224585473
20211231,102553.20950966822
20211231,102553.20950966822
20211021,100138.17329816133
20211021,100138.17329816133
20211025,100143.38114903496
20211025,100143.38114903496
20211026,99898.04126595879
20211026,99898.04126595879
20211027,98500.17038447557
20211027,98500.17038447557
20211028,97547.08250841907
20211028,97547.08250841907
20211231,100000.00000000012
20211231,100000.00000000012
20220104,100613.56125129557
20220104,100613.56125129557
20220105,99906.8688216952
20220105,99906.8688216952
20220106,99482.74196108305
20220106,99482.74196108305
20220107,99618.99655188386
20220107,99618.99655188386
20220110,100069.47098150721
20220110,100069.47098150721
20220111,99436.9581649851
20220111,99436.9581649851
20220112,99737.96242693055
20220112,99737.96242693055
20220113,98502.114600996
20220113,98502.114600996
20220114,97134.37372752378
20220114,97134.37372752378
20220117,97689.7643238867
20220117,97689.7643238867
20220118,98627.38075838954
20220118,98627.38075838954
20220119,98298.91183333189
20220119,98298.91183333189
20220120,98749.69622257703
20220120,98749.69622257703
20220121,97452.09785801417
20220121,97452.09785801417
20220124,97274.08474953932
20220124,97274.08474953932
20220125,94448.61635393956
20220125,94448.61635393956
20220126,95113.65390557698
20220126,95113.65390557698
20220127,93189.32455851509
20220127,93189.32455851509
20220128,92618.1750241413
20220128,92618.1750241413
20220207,94173.33325938288
20220207,94173.33325938288
20220208,95290.2801162774
20220208,95290.2801162774
20220209,96199.24253031847
20220209,96199.24253031847
20220210,96644.74039760363
20220210,96644.74039760363
20220211,96080.69818176399
20220211,96080.69818176399
20220214,94657.05420337041
20220214,94657.05420337041
20220215,94859.62536941514
20220215,94859.62536941514
20220216,95250.23436722792
20220216,95250.23436722792
20220217,95027.11336940883
20220217,95027.11336940883
20220218,95982.22005655042
20220218,95982.22005655042
20220221,96236.69457273943
20220221,96236.69457273943
20220222,95147.3629171378
20220222,95147.3629171378
20220223,95588.44532115821
20220223,95588.44532115821
20220224,93670.15795340916
20220224,93670.15795340916
20220225,94072.104732948
20220225,94072.104732948
20220228,94070.34118021716
20220228,94070.34118021716
20220301,94697.78779011335
20220301,94697.78779011335
20220302,94651.37617650602
20220302,94651.37617650602
20220303,94869.01878108851
20220303,94869.01878108851
20220304,93995.81116161878
20220304,93995.81116161878
20220307,91919.49105736702
20220307,91919.49105736702
20220308,89151.90069156524
20220308,89151.90069156524
20220309,87621.07090056945
20220309,87621.07090056945
20220310,88600.87813341508
20220310,88600.87813341508
20220311,89329.22021588375
20220311,89329.22021588375
20220314,87150.48343348235
20220314,87150.48343348235
20220315,82529.59040063298
20220315,82529.59040063298
20220316,85540.1025109312
20220316,85540.1025109312
20220317,86882.04605369008
20220317,86882.04605369008
20220318,88016.1461205862
20220318,88016.1461205862
20220321,87948.31089084393
20220321,87948.31089084393
20220322,88506.728955998
20220322,88506.728955998
20220323,88838.45557205466
20220323,88838.45557205466
20220324,88241.02440972466
20220324,88241.02440972466
20220325,87268.65565911567
20220325,87268.65565911567
20220328,87468.71643727082
20220328,87468.71643727082
20220329,86959.02583146212
20220329,86959.02583146212
20220330,88779.85438123664
20220330,88779.85438123664
20220331,88493.38953585611
20220331,88493.38953585611
20220331,100000.0000000001
20220331,100000.0000000001
20220401,101164.41128651562
20220401,101164.41128651562
20220406,101669.09276663915
20220406,101669.09276663915
20220407,99882.91173936226
20220407,99882.91173936226
20220408,100382.80785257003
20220408,100382.80785257003
20220411,97630.2957190195
20220411,97630.2957190195
20220412,99335.41733488595
20220412,99335.41733488595
20220413,98273.65465205949
20220413,98273.65465205949
20220414,99570.29772277045
20220414,99570.29772277045
20220415,99339.54391885754
20220415,99339.54391885754
20220418,98713.65500241141
20220418,98713.65500241141
20220419,98461.61654865119
20220419,98461.61654865119
20220420,96903.46791112392
20220420,96903.46791112392
20220421,94651.14548103462
20220421,94651.14548103462
20220422,95072.09204964088
20220422,95072.09204964088
20220425,90111.44284760051
20220425,90111.44284760051
20220426,88354.0571595231
20220426,88354.0571595231
20220427,90492.68844548761
20220427,90492.68844548761
20220428,90723.81973842102
20220428,90723.81973842102
20220429,93744.92277576905
20220429,93744.92277576905
20220505,93932.76734504294
20220505,93932.76734504294
20220506,91565.58889071722
20220506,91565.58889071722
20220509,91620.49719597505
20220509,91620.49719597505
20220510,92420.34519172955
20220510,92420.34519172955
20220511,92995.71309234301
20220511,92995.71309234301
20220512,92903.66376079427
20220512,92903.66376079427
